GeneID	H(c|x)	p_e
CR925744.1	1.5873e-02	2.2344e-03
si:ch211-1f22.16	2.9491e-02	4.6251e-03
hmgn2	3.4615e-02	5.5959e-03
gadd45gb.1	3.6466e-02	5.9551e-03
tmsb	5.4667e-02	9.7004e-03
mcm6	5.7023e-02	1.0211e-02
snrpd3	5.7039e-02	1.0215e-02
tubb5	5.7089e-02	1.0226e-02
ncaph	6.2881e-02	1.1507e-02
mcm4	6.9103e-02	1.2919e-02
tpx2	7.2876e-02	1.3793e-02
insm1a	7.5161e-02	1.4329e-02
tuba8l	8.0345e-02	1.5562e-02
rs1a	8.5650e-02	1.6849e-02
zgc:114119	8.6377e-02	1.7027e-02
cx43.4	8.7344e-02	1.7265e-02
nutf2l	9.1099e-02	1.8196e-02
mki67	9.4509e-02	1.9052e-02
igf2bp3	9.4560e-02	1.9065e-02
mcm5	9.6825e-02	1.9639e-02
msgn1	9.7474e-02	1.9804e-02
top2a	1.0009e-01	2.0475e-02
nusap1	1.0043e-01	2.0562e-02
bhlhe41	1.0107e-01	2.0728e-02
dbpb	1.0213e-01	2.1000e-02
kif11	1.0309e-01	2.1249e-02
cenph	1.0499e-01	2.1745e-02
cmc4	1.1149e-01	2.3460e-02
si:dkey-56m19.5	1.1534e-01	2.4492e-02
plk1	1.2519e-01	2.7186e-02
si:ch211-69g19.2	1.2591e-01	2.7385e-02
slc26a6l	1.2609e-01	2.7435e-02
ing4	1.2740e-01	2.7801e-02
ndc80	1.2816e-01	2.8013e-02
ppp1r14ba	1.2975e-01	2.8459e-02
hmgb2b	1.3035e-01	2.8626e-02
tyms	1.3241e-01	2.9210e-02
CABZ01058261.1	1.3349e-01	2.9515e-02
tubb2b	1.3670e-01	3.0429e-02
birc5a	1.3809e-01	3.0829e-02
si:dkey-176f19.1	1.3881e-01	3.1035e-02
hsbp1a	1.3971e-01	3.1295e-02
cnp	1.4176e-01	3.1888e-02
fxyd6l	1.4856e-01	3.3879e-02
hunk	1.4943e-01	3.4137e-02
sox11a	1.5258e-01	3.5074e-02
smarcad1b	1.5293e-01	3.5178e-02
kif15	1.5545e-01	3.5932e-02
rrm2	1.5573e-01	3.6016e-02
bcl2l16	1.5632e-01	3.6195e-02
rrm1	1.5724e-01	3.6472e-02
mad2l1	1.5810e-01	3.6732e-02
sae1	1.5814e-01	3.6743e-02
stmn1a	1.5917e-01	3.7057e-02
oprd1b	1.6001e-01	3.7312e-02
mis18bp1	1.6021e-01	3.7373e-02
rbm33b	1.6138e-01	3.7729e-02
mcm3	1.6367e-01	3.8431e-02
